"stateFIPS","State","countyFIPS","County","Year","Value","Data Comment",
"01","Alabama","01003","Baldwin","2000","14.8","",
"01","Alabama","01003","Baldwin","2001","10.6","",
"01","Alabama","01003","Baldwin","2002","10.2","",
"01","Alabama","01003","Baldwin","2003","12.2","",
"01","Alabama","01003","Baldwin","2004","11.4","",
"01","Alabama","01003","Baldwin","2005","11.6","",
"01","Alabama","01003","Baldwin","2006","11.3","",
"01","Alabama","01003","Baldwin","2007","10.4","",
"01","Alabama","01003","Baldwin","2008","9.6","",
"01","Alabama","01003","Baldwin","2010","10.2","",
"01","Alabama","01003","Baldwin","2011","10.0","",
"01","Alabama","01003","Baldwin","2012","9.2","",
"01","Alabama","01003","Baldwin","2013","8.4","",
"01","Alabama","01003","Baldwin","2014","8.9","",
"01","Alabama","01003","Baldwin","2015","8.6","",
"01","Alabama","01003","Baldwin","2016","7.2","",
"01","Alabama","01003","Baldwin","2017","7.4","",
"01","Alabama","01003","Baldwin","2018","7.2","",
"01","Alabama","01027","Clay","1999","17.8","",
"01","Alabama","01027","Clay","2000","16.1","",
"01","Alabama","01027","Clay","2001","12.8","",
"01","Alabama","01027","Clay","2002","13.2","",
"01","Alabama","01027","Clay","2003","13.5","",
"01","Alabama","01027","Clay","2004","13.0","",
"01","Alabama","01027","Clay","2005","13.5","",
"01","Alabama","01027","Clay","2006","13.0","",
"01","Alabama","01027","Clay","2007","13.4","",
"01","Alabama","01027","Clay","2008","10.8","",
"01","Alabama","01027","Clay","2009","9.1","",
"01","Alabama","01027","Clay","2010","10.5","",
"01","Alabama","01027","Clay","2011","10.6","",
"01","Alabama","01027","Clay","2012","8.9","",
"01","Alabama","01027","Clay","2013","8.0","",
"01","Alabama","01027","Clay","2014","8.9","",
"01","Alabama","01027","Clay","2015","8.3","",
"01","Alabama","01027","Clay","2016","7.4","",
"01","Alabama","01027","Clay","2017","7.9","",
"01","Alabama","01027","Clay","2018","7.0","",
"01","Alabama","01033","Colbert","1999","17.5","",
"01","Alabama","01033","Colbert","2000","15.6","",
"01","Alabama","01033","Colbert","2001","12.7","",
"01","Alabama","01033","Colbert","2002","12.6","",
"01","Alabama","01033","Colbert","2003","12.8","",
"01","Alabama","01033","Colbert","2004","11.8","",
"01","Alabama","01033","Colbert","2005","13.3","",
"01","Alabama","01033","Colbert","2006","12.6","",
"01","Alabama","01033","Colbert","2007","13.6","",
"01","Alabama","01033","Colbert","2008","11.2","",
"01","Alabama","01033","Colbert","2009","9.4","",
"01","Alabama","01033","Colbert","2010","10.5","",
"01","Alabama","01033","Colbert","2011","10.3","",
"01","Alabama","01033","Colbert","2012","8.8","",
"01","Alabama","01033","Colbert","2013","8.6","",
"01","Alabama","01033","Colbert","2014","9.3","",
"01","Alabama","01033","Colbert","2015","8.7","",
"01","Alabama","01033","Colbert","2016","7.5","",
"01","Alabama","01033","Colbert","2017","7.4","",
"01","Alabama","01033","Colbert","2018","7.5","",
"01","Alabama","01049","DeKalb","1999","18.8","",
"01","Alabama","01049","DeKalb","2000","17.7","",
"01","Alabama","01049","DeKalb","2001","14.2","",
"01","Alabama","01049","DeKalb","2002","14.6","",
"01","Alabama","01049","DeKalb","2003","14.9","",
"01","Alabama","01049","DeKalb","2004","14.2","",
"01","Alabama","01049","DeKalb","2005","14.2","",
"01","Alabama","01049","DeKalb","2006","13.6","",
"01","Alabama","01049","DeKalb","2007","14.1","",
"01","Alabama","01049","DeKalb","2008","11.7","",
"01","Alabama","01049","DeKalb","2009","9.7","",
"01","Alabama","01049","DeKalb","2010","11.5","",
"01","Alabama","01049","DeKalb","2011","11.2","",
"01","Alabama","01049","DeKalb","2012","9.3","",
"01","Alabama","01049","DeKalb","2013","9.0","",
"01","Alabama","01049","DeKalb","2014","9.6","",
"01","Alabama","01049","DeKalb","2015","9.1","",
"01","Alabama","01049","DeKalb","2016","7.7","",
"01","Alabama","01049","DeKalb","2017","8.0","",
"01","Alabama","01049","DeKalb","2018","7.1","",
"01","Alabama","01053","Escambia","2000","16.9","",
"01","Alabama","01053","Escambia","2001","12.4","",
"01","Alabama","01053","Escambia","2002","11.9","",
"01","Alabama","01053","Escambia","2003","12.7","",
"01","Alabama","01053","Escambia","2004","12.6","",
"01","Alabama","01053","Escambia","2005","13.5","",
"01","Alabama","01053","Escambia","2006","13.1","",
"01","Alabama","01053","Escambia","2007","13.4","",
"01","Alabama","01055","Etowah","2000","19.3","",
"01","Alabama","01055","Etowah","2002","14.9","",
"01","Alabama","01055","Etowah","2003","14.2","",
"01","Alabama","01055","Etowah","2004","14.4","",
"01","Alabama","01055","Etowah","2005","15.5","",
"01","Alabama","01055","Etowah","2006","14.5","",
"01","Alabama","01055","Etowah","2007","15.7","",
"01","Alabama","01055","Etowah","2008","12.4","",
"01","Alabama","01055","Etowah","2009","10.2","",
"01","Alabama","01055","Etowah","2010","11.8","",
"01","Alabama","01055","Etowah","2011","11.4","",
"01","Alabama","01055","Etowah","2012","9.6","",
"01","Alabama","01055","Etowah","2013","9.2","",
"01","Alabama","01055","Etowah","2014","9.3","",
"01","Alabama","01055","Etowah","2015","9.1","",
"01","Alabama","01055","Etowah","2016","8.2","",
"01","Alabama","01055","Etowah","2017","8.8","",
"01","Alabama","01055","Etowah","2018","7.7","",
"01","Alabama","01069","Houston","1999","19.6","",
"01","Alabama","01069","Houston","2000","15.7","",
"01","Alabama","01069","Houston","2001","14.0","",
"01","Alabama","01069","Houston","2002","13.1","",
"01","Alabama","01069","Houston","2003","13.9","",
"01","Alabama","01069","Houston","2005","13.2","",
"01","Alabama","01069","Houston","2006","12.9","",
"01","Alabama","01069","Houston","2007","13.6","",
"01","Alabama","01069","Houston","2008","10.5","",
"01","Alabama","01069","Houston","2009","9.5","",
"01","Alabama","01069","Houston","2010","10.3","",
"01","Alabama","01069","Houston","2011","10.2","",
"01","Alabama","01069","Houston","2012","8.8","",
"01","Alabama","01069","Houston","2013","8.3","",
"01","Alabama","01069","Houston","2014","8.7","",
"01","Alabama","01069","Houston","2015","7.3","",
"01","Alabama","01069","Houston","2016","7.1","",
"01","Alabama","01069","Houston","2017","8.6","",
"01","Alabama","01069","Houston","2018","7.6","",
"01","Alabama","01073","Jefferson","1999","23.6","",
"01","Alabama","01073","Jefferson","2000","22.4","",
"01","Alabama","01073","Jefferson","2001","19.2","",
"01","Alabama","01073","Jefferson","2002","17.5","",
"01","Alabama","01073","Jefferson","2003","17.5","",
"01","Alabama","01073","Jefferson","2004","17.7","",
"01","Alabama","01073","Jefferson","2005","19.6","",
"01","Alabama","01073","Jefferson","2006","18.5","",
"01","Alabama","01073","Jefferson","2007","18.9","",
"01","Alabama","01073","Jefferson","2008","15.6","",
"01","Alabama","01073","Jefferson","2009","11.7","",
"01","Alabama","01073","Jefferson","2010","13.9","",
"01","Alabama","01073","Jefferson","2011","13.3","",
"01","Alabama","01073","Jefferson","2012","11.2","",
"01","Alabama","01073","Jefferson","2013","10.5","",
"01","Alabama","01073","Jefferson","2014","11.9","",
"01","Alabama","01073","Jefferson","2015","11.8","",
"01","Alabama","01073","Jefferson","2016","10.8","",
"01","Alabama","01073","Jefferson","2017","10.5","",
"01","Alabama","01073","Jefferson","2018","10.2","",
"01","Alabama","01089","Madison","1999","15.7","",
"01","Alabama","01089","Madison","2000","16.2","",
"01","Alabama","01089","Madison","2001","14.6","",
"01","Alabama","01089","Madison","2002","13.7","",
"01","Alabama","01089","Madison","2003","13.7","",
"01","Alabama","01089","Madison","2004","13.4","",
"01","Alabama","01089","Madison","2005","14.4","",
"01","Alabama","01089","Madison","2006","13.2","",
"01","Alabama","01089","Madison","2007","14.3","",
"01","Alabama","01089","Madison","2008","12.2","",
"01","Alabama","01089","Madison","2009","10.0","",
"01","Alabama","01089","Madison","2010","11.6","",
"01","Alabama","01089","Madison","2011","11.3","",
"01","Alabama","01089","Madison","2012","9.2","",
"01","Alabama","01089","Madison","2013","8.6","",
"01","Alabama","01089","Madison","2014","9.0","",
"01","Alabama","01089","Madison","2015","8.3","",
"01","Alabama","01089","Madison","2016","7.5","",
"01","Alabama","01089","Madison","2017","7.5","",
"01","Alabama","01089","Madison","2018","7.5","",
"01","Alabama","01097","Mobile","1999","19.6","",
"01","Alabama","01097","Mobile","2000","15.7","",
"01","Alabama","01097","Mobile","2001","12.9","",
"01","Alabama","01097","Mobile","2002","12.1","",
"01","Alabama","01097","Mobile","2003","12.8","",
"01","Alabama","01097","Mobile","2004","14.0","",
"01","Alabama","01097","Mobile","2005","12.9","",
"01","Alabama","01097","Mobile","2006","12.8","",
"01","Alabama","01097","Mobile","2007","11.5","",
"01","Alabama","01097","Mobile","2008","10.0","",
"01","Alabama","01097","Mobile","2009","9.6","",
"01","Alabama","01097","Mobile","2010","9.8","",
"01","Alabama","01097","Mobile","2011","10.0","",
"01","Alabama","01097","Mobile","2012","8.8","",
"01","Alabama","01097","Mobile","2013","8.3","",
"01","Alabama","01097","Mobile","2014","9.0","",
"01","Alabama","01097","Mobile","2015","8.4","",
"01","Alabama","01097","Mobile","2016","8.1","",
"01","Alabama","01097","Mobile","2017","8.0","",
