Year,State,Q01%,Q02%,Q03%,Q04%,Q08_Mean,Q09%,Q13%,Q14%,Q16%,Q17%,Q18%,Q19%,Q21%,Q22%,Q27%,Q32%,Q33%,Q35_Mean,Q36%,Q37%,Q38%,Q39%,Q40%,Q42%,Q43%,Q44%,Q45%,Q05%,Q07%,Q10%,Q11%,Q12%,Q15%,Q20%,Q34%,Q46%,Mortality_Rate,Deaths,Aqi,Percent!!Population 18 to 24 years!!Bachelor's degree or higher,Percent!!Population 18 to 24 years!!High school graduate (includes equivalency),Percent!!Population 18 to 24 years!!Less than high school graduate,Percent!!Population 18 to 24 years!!Some college or associate's degree,"Percent!!Population 25 years and over!!9th to 12th grade, no diploma",Percent!!Population 25 years and over!!Associate's degree,Percent!!Population 25 years and over!!Bachelor's degree,Percent!!Population 25 years and over!!Graduate or professional degree,Percent!!Population 25 years and over!!High school graduate (includes equivalency),Percent!!Population 25 years and over!!Less than 9th grade,"Percent!!Population 25 years and over!!Some college, no degree",Total!!Population 18 to 24 years!!Bachelor's degree or higher,Total!!Population 18 to 24 years!!High school graduate (includes equivalency),Total!!Population 18 to 24 years!!Less than high school graduate,Total!!Population 18 to 24 years!!Some college or associate's degree,"Total!!Population 25 years and over!!9th to 12th grade, no diploma",Total!!Population 25 years and over!!Associate's degree,Total!!Population 25 years and over!!Bachelor's degree,Total!!Population 25 years and over!!Graduate or professional degree,Total!!Population 25 years and over!!High school graduate (includes equivalency),Total!!Population 25 years and over!!Less than 9th grade,"Total!!Population 25 years and over!!Some college, no degree",Percent!!Population 25 years and over!!Bachelor's degree or higher,Percent!!Population 25 years and over!!High school graduate or higher,Total!!Population 25 years and over!!Bachelor's degree or higher,Total!!Population 25 years and over!!High school graduate or higher
2015,Alabama,18.2,10.6,12.4,90.7,6.1,58.4,36.2,93.7,37.3,17.3,52.6,68.0,6.6,60.6,23.0,30.0,70.0,7.7,26.0,19.6,74.4,32.6,11.4,45.5,51.3,38.8,42.8,,,,,,,,,,16.7,68,9.007142857142856,7.5,31.9,15.2,45.4,10.3,8.1,15.4,8.8,31,4.8,21.6,35031,149612,70992,212684,338052,266452,504626,288250,1018063,158830,707979,,,,
2015,Alaska,30.9,19.7,9.0,77.2,4.5,56.2,32.2,87.8,27.7,16.3,42.4,62.4,13.3,45.9,16.0,19.5,80.5,5.7,,,,,,,38.4,,29.8,,,,,,,,,,41.8,2282,10.225,5.8,38.1,15.1,41.1,4.8,8.1,18.7,11,27.3,2.6,27.5,4793,31416,12427,33882,22495,38113,87869,51547,128052,12121,129326,,,,
2015,Arizona,30.0,17.8,9.6,84.9,5.4,62.4,29.2,90.9,26.9,13.4,43.7,,8.1,48.3,19.8,23.8,76.2,6.4,,,,,,41.2,39.9,29.3,36.7,,,,,,,,,,41.5,1457,6.471428571428572,7.4,30.4,17.1,45.2,7.9,8.4,17.4,10.3,24.5,6,25.5,49307,203312,114187,302777,359657,382106,788933,468516,1110871,271316,1155555,,,,
2015,Arkansas,21.2,13.7,13.2,90.1,6.4,61.4,35.3,91.2,38.9,18.3,49.6,,7.0,60.6,23.3,34.4,65.6,8.2,,,,,,38.3,48.5,33.5,45.9,,,,,,,,,,35.8,2943,8.61111111111111,7.2,31.7,12.8,48.3,9.3,6.8,14,7.8,34.1,5.3,22.7,20474,90153,36309,137505,184126,135029,278975,154406,678452,105945,450886,,,,
2015,California,34.9,20.1,10.2,85.0,5.0,61.0,25.2,91.0,20.9,9.7,49.2,,9.1,47.4,14.8,24.3,75.7,6.2,,,,,,43.2,36.2,30.3,34.8,,,,,,,,,,35.7,15065,10.125581395348838,9.7,29.6,12.4,48.3,7.9,7.6,20.3,12,20.8,9.9,21.5,381508,1166501,490779,1904349,2060753,1992703,5285754,3129936,5430081,2582757,5603279,,,,
2015,Colorado,32.6,18.7,8.2,82.8,4.6,67.2,22.3,91.2,20.3,14.1,53.3,,9.4,41.9,19.7,18.1,81.9,5.5,,,,,,46.8,39.5,22.5,27.9,,,,,,,,,,31.3,1612,6.491666666666666,11.1,29.9,13.4,45.6,5.1,8.2,24.8,14.5,21.7,3.7,22,58754,157730,70618,240847,188280,301203,909032,531744,796984,135573,809037,,,,
2015,Connecticut,34.1,16.8,9.6,85.4,4.5,62.3,27.7,94.2,26.2,11.9,54.3,,9.2,48.5,17.4,19.8,80.2,5.5,,,,,,,40.5,25.0,28.4,,,,,,,,,,19.0,966,8.2,14.7,27.7,10.8,46.8,5.6,7.6,21.7,16.7,27.4,4.2,16.9,52002,97565,37981,165295,137496,187970,535933,412111,678916,104772,417520,,,,
2015,Delaware,29.7,15.3,10.1,88.1,4.7,63.5,31.3,93.0,32.8,16.1,53.7,,8.5,52.7,17.9,22.1,77.9,6.1,,,,,,,45.9,29.1,32.3,,,,,,,,,,22.6,264,9.066666666666666,11,30.7,14.1,44.2,7.3,8.1,18,12.9,29.8,3.8,20.1,9785,27340,12574,39399,47663,52556,117581,84348,194810,24692,130986,,,,
2015,Florida,31.6,18.2,11.8,89.6,5.4,60.2,29.0,92.6,30.3,14.2,40.2,,9.1,50.8,18.0,24.0,76.0,7.0,23.2,19.3,67.3,33.6,7.7,48.2,42.5,32.1,34.7,,,,,,,,,,21.8,7031,6.5176470588235285,8.8,29.7,16.4,45.1,7.2,9.6,18.2,10.2,29.2,5.2,20.4,155753,526907,290921,800421,1031199,1383565,2620339,1471999,4201879,750053,2935247,,,,
2015,Georgia,25.3,13.8,11.4,90.9,5.7,56.8,34.2,93.3,31.6,17.0,45.3,67.6,7.9,59.1,19.3,26.3,73.7,7.6,,,,,,45.7,43.3,34.4,39.1,,,,,,,,,,42.4,3714,9.010000000000002,8,31.9,16.4,43.7,8.9,7.4,18.6,11.3,28.1,5,20.7,82673,327755,168766,449485,593620,496008,1244449,755664,1879302,332116,1382608,,,,
